ProfileID_i,season,daytype,hour,valid_obs_ratio,kw_mean,total_hours_sum,kw_std,valid_hours
364,high,Saturday,10,1.0,0.4456240685680452,11,0.1937387429541532,11.0
364,high,Saturday,11,1.0,0.38044840262364793,11,0.20201018857837347,11.0
364,high,Saturday,12,1.0,0.5205092682104417,11,0.40805190038376454,11.0
364,high,Saturday,13,1.0,0.4968941808028862,11,0.3682011971506834,11.0
364,high,Saturday,14,1.0,0.3359664135152314,11,0.1356638081729459,11.0
364,high,Saturday,15,1.0,0.3786794344500973,11,0.207583671428581,11.0
364,high,Saturday,16,1.0,0.4821524342636608,11,0.23599632759554104,11.0
364,high,Saturday,17,1.0,0.5456822619418428,11,0.2974977680320814,11.0
364,high,Saturday,18,1.0,0.7877343884592705,11,0.4053589277968011,11.0
364,high,Saturday,19,1.0,0.6410169763747698,11,0.14605135922007398,11.0
364,high,Saturday,20,1.0,0.6492099674573443,11,0.19922735192907703,11.0
364,high,Saturday,21,1.0,0.5625050081976156,11,0.315461110230327,11.0
364,high,Saturday,22,1.0,0.43806257626920847,11,0.21907024101798156,11.0
364,high,Saturday,23,1.0,0.3337522720285224,11,0.11018898868616496,11.0
364,high,Sunday,0,1.0,0.2964156086724526,10,0.13624355683022735,10.0
364,high,Sunday,1,1.0,0.28652451674823487,10,0.14854525182523304,10.0
364,high,Sunday,2,1.0,0.29003413192999594,10,0.15468487388045513,10.0
364,high,Sunday,3,1.0,0.2931783523363554,10,0.1565583582316408,10.0
364,high,Sunday,4,1.0,0.2886395284255388,10,0.15115103488445278,10.0
364,high,Sunday,5,1.0,0.32499395993324914,10,0.22614471406821537,10.0
364,high,Sunday,6,1.0,0.3115609319212334,10,0.19978402361397496,10.0
364,high,Sunday,7,1.0,0.38255709257525033,10,0.20704825942856142,10.0
364,high,Sunday,8,1.0,0.4090815100268836,10,0.2009158283970712,10.0
364,high,Sunday,9,1.0,0.6296453374982885,10,0.29413383560555484,10.0
364,high,Sunday,10,1.0,0.7403584932209832,10,0.43476709512799805,10.0
364,high,Sunday,11,1.0,0.6116322695619768,10,0.3400623233259193,10.0
364,high,Sunday,12,1.0,0.4233018818070637,10,0.18540688558103469,10.0
364,high,Sunday,13,1.0,0.4399638084157184,10,0.10792574637057738,10.0
364,high,Sunday,14,1.0,0.42435073260607276,10,0.1925665304981936,10.0
364,high,Sunday,15,1.0,0.356612731585985,10,0.13430532295547978,10.0
364,high,Sunday,16,1.0,0.35859702286055906,10,0.17180045430572452,10.0
364,high,Sunday,17,1.0,0.3776835058660379,10,0.12667162363800613,10.0
364,high,Sunday,18,1.0,0.7306717820172149,10,0.18535260524899244,10.0
364,high,Sunday,19,1.0,0.6561835702740922,10,0.19597817213224059,10.0
364,high,Sunday,20,1.0,0.6545339187548831,10,0.12820510039107547,10.0
