RECORDER_ID,SERIAL_NO,CONFIG_TYPEID,START_TIME,END_TIME,GROUP_ID,active
WVL012,ERID-000WVL012,4,2010-11-01,2011-12-31,1000109,0
WVL012,ERID-000WVL012,4,2012-01-01,2013-01-10,1000116,0
WVL012,ERID-000WVL012,4,2012-09-01,2014-01-10,1000127,0
WVL012,ERID-000WVL012,4,2014-01-01,2015-01-10,1000141,1
WVL013,95679353,1,2009-07-14,2009-11-30,1000089,0
WVL013,ERID-000WVL013,4,2009-12-01,2010-10-31,1000099,0
WVL013,ERID-000WVL013,4,2010-11-01,2011-12-31,1000109,0
WVL013,ERID-000WVL013,4,2012-01-01,2013-01-10,1000116,0
WVL013,ERID-000WVL013,4,2012-09-01,2014-01-10,1000127,0
WVL013,ERID-000WVL013,4,2014-01-01,2015-01-10,1000141,1
WVL014,95679346,1,2009-07-15,2009-11-30,1000089,0
WVL014,ERID-000WVL014,4,2009-12-01,2010-10-31,1000099,0
WVL014,ERID-000WVL014,4,2010-11-01,2011-12-31,1000109,0
WVL014,ERID-000WVL014,4,2012-01-01,2013-01-10,1000116,0
WVL014,ERID-000WVL014,4,2012-09-01,2014-01-10,1000127,0
WVL014,ERID-000WVL014,4,2014-01-01,2015-01-10,1000141,1
WVL015,95935559,1,2009-07-14,2009-11-30,1000089,0
WVL015,ERID-000WVL015,4,2009-12-01,2010-10-31,1000099,0
WVL015,ERID-000WVL015,4,2010-11-01,2011-12-31,1000109,0
WVL015,ERID-000WVL015,4,2012-01-01,2013-01-10,1000116,0
WVL015,ERID-000WVL015,4,2012-09-01,2014-01-10,1000127,0
WVL015,ERID-000WVL015,4,2014-01-01,2015-01-10,1000141,1
WVL016,95935547,1,2009-07-15,2009-11-30,1000089,0
WVL016,ERID-000WVL016,4,2009-12-01,2010-10-31,1000099,0
WVL016,ERID-000WVL016,4,2010-11-01,2011-12-31,1000109,0
WVL016,ERID-000WVL016,4,2012-01-01,2013-01-10,1000116,0
WVL016,ERID-000WVL016,4,2012-09-01,2014-01-10,1000127,0
WVL016,ERID-000WVL016,4,2014-01-01,2015-01-10,1000141,1
WVL017,95679344,1,2009-07-09,2009-11-30,1000089,0
WVL017,ERID-000WVL017,4,2009-12-01,2010-10-31,1000099,0
WVL017,ERID-000WVL017,4,2010-11-01,2011-12-31,1000109,0
WVL017,ERID-000WVL017,4,2012-01-01,2013-01-10,1000116,0
WVL017,ERID-000WVL017,4,2012-09-01,2014-01-10,1000127,0
WVL017,ERID-000WVL017,4,2014-01-01,2015-01-10,1000141,1
WVL018,95935553,1,2009-07-13,2009-11-30,1000089,0
WVL018,ERID-000WVL018,4,2009-12-01,2010-10-31,1000099,0
WVL018,ERID-000WVL018,4,2010-11-01,2011-12-31,1000109,0
WVL018,ERID-000WVL018,4,2012-01-01,2013-01-10,1000116,0
WVL018,ERID-000WVL018,4,2012-09-01,2014-01-10,1000127,0
WVL018,ERID-000WVL018,4,2014-01-01,2015-01-10,1000141,1
WVL019,95679360,1,2009-07-13,2009-11-30,1000089,0
WVL019,ERID-000WVL019,4,2009-12-01,2010-10-31,1000099,0
WVL019,ERID-000WVL019,4,2010-11-01,2011-12-31,1000109,0
WVL019,ERID-000WVL019,4,2012-01-01,2013-01-10,1000116,0
WVL019,ERID-000WVL019,4,2012-09-01,2014-01-10,1000127,0
WVL019,ERID-000WVL019,4,2014-01-01,2015-01-10,1000141,1
WVL020,95935545,1,2009-07-14,2009-11-30,1000089,0
WVL020,ERID-000WVL020,4,2009-12-01,2010-10-31,1000099,0
WVL020,ERID-000WVL020,4,2010-11-01,2011-12-31,1000109,0
WVL020,ERID-000WVL020,4,2012-01-01,2013-01-10,1000116,0
WVL020,ERID-000WVL020,4,2012-09-01,2014-01-10,1000127,0
WVL020,ERID-000WVL020,4,2014-01-01,2015-01-10,1000141,1
WVL021,95679354,1,2009-07-09,2009-11-30,1000089,0
WVL021,ERID-000WVL021,4,2009-12-01,2010-10-31,1000099,0
WVL021,ERID-000WVL021,4,2010-11-01,2011-12-31,1000109,0
WVL021,ERID-000WVL021,4,2012-01-01,2013-01-10,1000116,0
WVL021,ERID-000WVL021,4,2012-09-01,2014-01-10,1000127,0
WVL021,ERID-000WVL021,4,2014-01-01,2015-01-10,1000141,1
WVL022,ERID-000WVL022,4,2009-12-01,2010-10-31,1000099,0
WVL022,ERID-000WVL022,4,2010-11-01,2011-12-31,1000109,0
WVL022,ERID-000WVL022,4,2012-01-01,2013-01-10,1000116,0
WVL022,ERID-000WVL022,4,2012-09-01,2014-01-10,1000127,0
WVL022,ERID-000WVL022,4,2014-01-01,2015-01-10,1000141,1
WVL023,95935548,1,2009-07-09,2009-11-30,1000089,0
WVL023,ERID-000WVL023,4,2009-12-01,2010-10-31,1000099,0
WVL023,ERID-000WVL023,4,2010-11-01,2011-12-31,1000109,0
WVL023,ERID-000WVL023,4,2012-01-01,2013-01-10,1000116,0
WVL023,ERID-000WVL023,4,2012-09-01,2014-01-10,1000127,0
WVL023,ERID-000WVL023,4,2014-01-01,2015-01-10,1000141,1
WVL024,ERID-000WVL024,4,2009-12-01,2010-10-31,1000099,0
WVL024,ERID-000WVL024,4,2010-11-01,2011-12-31,1000109,0
WVL024,ERID-000WVL024,4,2012-01-01,2013-01-10,1000116,0
WVL024,ERID-000WVL024,4,2012-09-01,2014-01-10,1000127,0
WVL024,ERID-000WVL024,4,2014-01-01,2015-01-10,1000141,1
WVL025,95679351,1,2009-07-13,2009-11-30,1000089,0
WVL025,ERID-000WVL025,4,2009-12-01,2010-10-31,1000099,0
WVL025,ERID-000WVL025,4,2010-11-01,2011-12-31,1000109,0
WVL025,ERID-000WVL025,4,2012-01-01,2013-01-10,1000116,0
WVL025,ERID-000WVL025,4,2012-09-01,2014-01-10,1000127,0
WVL025,ERID-000WVL025,4,2014-01-01,2015-01-10,1000141,1
WVL026,95679341,1,2009-07-13,2009-11-30,1000089,0
WVL026,ERID-000WVL026,4,2009-12-01,2010-10-31,1000099,0
WVL026,ERID-000WVL026,4,2010-11-01,2011-12-31,1000109,0
WVL026,ERID-000WVL026,4,2012-01-01,2013-01-10,1000116,0
WVL026,ERID-000WVL026,4,2012-09-01,2014-01-10,1000127,0
WVL026,ERID-000WVL026,4,2014-01-01,2015-01-10,1000141,1
WVL027,95935546,1,2009-07-10,2009-11-30,1000089,0
WVL027,ERID-000WVL027,4,2009-12-01,2010-10-31,1000099,0
WVL027,ERID-000WVL027,4,2010-11-01,2011-12-31,1000109,0
WVL027,ERID-000WVL027,4,2012-01-01,2013-01-10,1000116,0
WVL027,ERID-000WVL027,4,2012-09-01,2014-01-10,1000127,0
WVL027,ERID-000WVL027,4,2014-01-01,2015-01-10,1000141,1
WVL028,95679350,1,2009-07-10,2009-11-30,1000089,0
WVL028,ERID-000WVL028,4,2009-12-01,2010-10-31,1000099,0
WVL028,ERID-000WVL028,4,2010-11-01,2011-12-31,1000109,0
WVL028,ERID-000WVL028,4,2012-01-01,2013-01-10,1000116,0
WVL028,ERID-000WVL028,4,2012-09-01,2014-01-10,1000127,0
WVL028,ERID-000WVL028,4,2014-01-01,2015-01-10,1000141,1
WVL029,95679349,1,2009-07-10,2009-11-19,1000089,0
WVL029,ERID-000WVL029,4,2009-11-20,2010-10-31,1000099,0
WVL029,ERID-000WVL029,4,2010-11-01,2011-12-31,1000109,0
WVL029,ERID-000WVL029,4,2012-01-01,2013-01-10,1000116,0
WVL029,ERID-000WVL029,4,2012-09-01,2014-01-10,1000127,0
WVL029,ERID-000WVL029,4,2014-01-01,2015-01-10,1000141,1
